-0000000.012730 -0000000.184708 00000000.129692 -0000000.066576 -0000000.141349 -0000000.143739 00000000.004288 -0000000.152262 00000000.090377 00000000.024717 00000000.157995 -0000000.149096 -0000000.023874 -0000000.005547 -0000000.009462 00000000.073744 -0000000.023918 -0000000.075570 00000000.102247 -0000000.142540 -0000000.139233 00000000.093876 -0000000.058315 00000000.138286 -0000000.147721 00000000.099132 -0000000.018140 -0000000.000944 00000000.144939 -0000000.074578 00000000.030633 -0000000.055552
00000000.100412 -0000000.009616 00000000.131419 -0000000.102946 00000000.029621 00000000.022789 00000000.104176 -0000000.083034 -0000000.024853 00000000.111675 00000000.105907 -0000000.066876 00000000.015304 00000000.049596 -0000000.063439 -0000000.108170 -0000000.100720 00000000.143858 -0000000.033414 00000000.072877 -0000000.101989 00000000.203034 00000000.094017 00000000.023585 -0000000.089926 -0000000.048922 -0000000.134068 -0000000.092138 -0000000.033188 00000000.143498 -0000000.121335 00000000.170593
00000000.094561 -0000000.171269 00000000.157613 00000000.053273 -0000000.018650 00000000.025051 00000000.044637 00000000.117042 00000000.181626 00000000.060847 -0000000.005971 00000000.031793 00000000.057763 -0000000.052020 -0000000.108911 -0000000.165613 00000000.175739 -0000000.070610 -0000000.003805 -0000000.137075 -0000000.015101 00000000.140090 -0000000.143817 00000000.082958 00000000.175992 -0000000.154435 00000000.004165 00000000.020081 00000000.037274 00000000.009946 00000000.170048 00000000.165134
-0000000.014007 00000000.208247 -0000000.067922 -0000000.099221 -0000000.073628 00000000.096841 00000000.149599 00000000.098548 -0000000.011433 00000000.040838 -0000000.100430 -0000000.045738 -0000000.117203 00000000.050995 -0000000.108349 00000000.150144 -0000000.001789 00000000.066417 -0000000.050243 00000000.028940 -0000000.179335 -0000000.175101 -0000000.113172 00000000.150491 00000000.072015 00000000.081850 00000000.176575 00000000.037171 00000000.033867 -0000000.083864 -0000000.082613 00000000.102282
00000000.161820 -0000000.047702 00000000.047334 -0000000.053054 00000000.150420 -0000000.008690 -0000000.044699 -0000000.001066 -0000000.012589 00000000.132066 -0000000.056162 00000000.046363 00000000.007605 00000000.120914 00000000.150028 -0000000.102723 -0000000.012938 00000000.004945 -0000000.072700 00000000.102188 00000000.185532 -0000000.127561 -0000000.059903 00000000.180594 00000000.003598 -0000000.076038 00000000.146601 00000000.006066 -0000000.086246 -0000000.145644 00000000.131566 -0000000.031265
-0000000.116021 -0000000.235015 -0000000.138519 00000000.049759 00000000.048596 00000000.027607 -0000000.129147 -0000000.166771 -0000000.105710 -0000000.129749 00000000.033355 00000000.050387 -0000000.099248 -0000000.172540 00000000.118871 00000000.069227 -0000000.074996 -0000000.068518 -0000000.015717 -0000000.091523 00000000.086550 00000000.038371 -0000000.107579 -0000000.153193 -0000000.079504 -0000000.155231 -0000000.081561 -0000000.012550 -0000000.043089 00000000.020285 -0000000.084610 00000000.098429
00000000.107996 -0000000.145166 -0000000.061089 -0000000.145892 00000000.009472 -0000000.137794 00000000.151863 00000000.090186 -0000000.011522 -0000000.004869 -0000000.006768 00000000.183913 -0000000.050932 00000000.045507 00000000.090949 00000000.088382 00000000.010884 00000000.142563 -0000000.105780 00000000.066914 -0000000.163359 00000000.126418 00000000.142179 -0000000.024781 -0000000.129938 -0000000.059379 00000000.025145 -0000000.098912 00000000.003778 -0000000.052305 -0000000.071133 00000000.117966
-0000000.120833 00000000.130280 -0000000.112467 00000000.014916 00000000.137731 -0000000.144030 -0000000.131261 00000000.112118 00000000.098414 -0000000.138718 00000000.072237 -0000000.133097 -0000000.148323 -0000000.085642 00000000.150166 00000000.019089 00000000.164624 00000000.074794 -0000000.043329 00000000.137461 00000000.079381 00000000.052814 -0000000.163862 -0000000.119640 00000000.121811 00000000.148827 00000000.078122 00000000.070033 -0000000.159072 -0000000.041699 -0000000.013871 -0000000.085684
00000000.138883 -0000000.164165 00000000.153381 -0000000.056214 -0000000.006983 00000000.132339 00000000.161756 -0000000.106325 00000000.101200 -0000000.148922 -0000000.144618 -0000000.081515 00000000.015368 -0000000.031069 00000000.072773 -0000000.169863 00000000.102642 -0000000.146320 00000000.127672 -0000000.023511 00000000.032410 -0000000.095322 00000000.051958 00000000.051038 00000000.154579 -0000000.041221 00000000.116803 -0000000.099499 00000000.063759 -0000000.145686 00000000.122660 -0000000.160045
-0000000.020419 00000000.164049 00000000.168074 -0000000.035527 -0000000.114132 00000000.024223 00000000.171899 00000000.088663 00000000.135006 00000000.051464 -0000000.105925 00000000.158688 -0000000.004178 00000000.062815 00000000.207239 -0000000.121612 00000000.044743 -0000000.141515 00000000.060320 -0000000.083393 00000000.017331 -0000000.173536 00000000.041747 00000000.129447 00000000.018731 -0000000.129079 00000000.066598 -0000000.117357 00000000.093611 00000000.111087 00000000.074419 -0000000.140580
00000000.089859 00000000.158345 00000000.005916 00000000.080743 00000000.014432 -0000000.134839 -0000000.078678 00000000.163298 00000000.132105 00000000.093283 -0000000.111307 -0000000.135730 -0000000.097315 00000000.122421 00000000.105754 00000000.107833 -0000000.030312 00000000.092311 -0000000.059513 -0000000.041163 -0000000.035864 -0000000.022011 -0000000.099334 -0000000.032683 -0000000.103861 -0000000.070655 00000000.080726 00000000.098174 00000000.151740 00000000.007558 -0000000.024545 -0000000.019454
-0000000.025897 00000000.095426 00000000.094609 00000000.004713 -0000000.094855 -0000000.152855 00000000.006879 -0000000.217294 00000000.104958 -0000000.098528 -0000000.015660 00000000.158377 -0000000.127723 00000000.059363 00000000.165691 -0000000.072481 -0000000.122915 00000000.084210 -0000000.000441 -0000000.062045 00000000.024195 -0000000.171596 00000000.036404 -0000000.048970 -0000000.154179 00000000.068367 00000000.064273 -0000000.125751 00000000.090152 00000000.138388 00000000.165814 00000000.112714
00000000.007692 00000000.080184 -0000000.127304 00000000.031363 00000000.151030 00000000.047184 00000000.049632 -0000000.177139 -0000000.166769 -0000000.128755 00000000.099131 -0000000.157162 00000000.021084 -0000000.031809 00000000.095065 -0000000.020305 -0000000.098368 00000000.009448 -0000000.086098 -0000000.095503 00000000.065992 00000000.073940 -0000000.073809 -0000000.029370 00000000.154922 -0000000.126827 -0000000.179671 -0000000.047990 -0000000.040682 00000000.028784 -0000000.162616 00000000.076893
-0000000.019194 -0000000.072693 00000000.150855 -0000000.122601 -0000000.081454 -0000000.027229 00000000.106359 00000000.077915 -0000000.042619 00000000.146761 00000000.101811 00000000.099691 00000000.053132 -0000000.185446 -0000000.138577 00000000.128552 00000000.068864 00000000.066811 00000000.058744 -0000000.028449 -0000000.184047 -0000000.015767 00000000.125877 00000000.012780 -0000000.160950 00000000.102798 00000000.178017 -0000000.138410 00000000.053867 -0000000.184293 00000000.005639 00000000.154921
00000000.029406 -0000000.046226 00000000.082330 00000000.000392 00000000.177546 00000000.127920 00000000.154935 00000000.062905 00000000.074356 -0000000.057667 -0000000.151085 -0000000.098076 00000000.021556 00000000.101457 -0000000.090857 -0000000.038818 -0000000.088992 00000000.111573 00000000.153195 -0000000.130821 -0000000.159930 00000000.110955 00000000.123022 -0000000.120218 -0000000.150622 -0000000.054065 -0000000.134352 00000000.183729 00000000.108349 -0000000.086784 00000000.006542 00000000.154847
