0,0,0,1,0,8,0,0,0,729,759
0,0,0,1,1,16,0,8,0,808,911
0,0,1,0,0,8,0,4194344,0,1174,1311
0,0,1,0,0,8,0,25165784,0,581,1405
0,0,1,0,1,8,0,120,0,775,1772
0,0,1,1,0,8,0,128,0,605,1957
0,1,0,0,0,8,0,64816,0,786,2611
0,0,1,1,0,24,0,464,0,1245,2684
0,1,0,0,0,8,0,16,0,1194,3214
0,1,0,0,0,8,0,16,0,654,3322
0,1,0,0,0,8,0,280,0,513,3810
0,1,0,0,0,32,0,352,0,1246,3965
0,1,1,1,0,48,0,-23658520,0,1202,1806
0,1,1,1,0,40,0,158840,0,925,2026
0,1,1,1,0,8,0,23830840,0,1100,2333
0,1,0,0,1,16,0,-4298264,0,641,643
0,1,0,0,1,8,0,16,0,492,493
0,0,1,1,0,8,0,3901616,0,439,441
0,1,0,0,0,8,0,-29287088,0,573,574
0,1,0,1,0,8,0,29351936,0,322,323
0,0,1,0,1,8,0,-65448,0,273,274
0,0,1,1,0,8,0,384,0,528,528
0,0,1,1,0,8,0,8,0,651,652
0,0,1,1,0,8,0,8,0,969,970
0,0,1,1,0,8,0,200,0,565,1167
0,0,1,1,0,8,0,8,0,2708,3193
0,0,1,0,0,8,0,-728,0,276,277
0,0,1,0,0,8,0,-25165784,0,294,295
0,1,1,0,0,8,0,25534504,0,524,525
0,1,1,0,1,8,0,-23781464,0,548,549
0,1,1,0,1,8,0,8,0,592,592
0,1,1,0,1,8,0,8,0,556,557
1,0,0,0,1,1024,0,-18152,0,8415,8416
1,0,0,1,1,1032,0,-2864864,0,14533,14535
1,0,0,1,1,1024,0,-167544,0,20639,20640
1,0,0,1,1,8,0,1024,0,12201,20743
1,0,0,1,1,1032,0,-4256,0,13600,28134
1,0,0,0,1,1024,0,-10552,0,13280,34092
1,0,0,0,1,8,0,11576,0,5962,34101
1,0,0,0,1,8,0,-10552,0,3672,34739
1,0,0,1,1,1032,0,-3034392,0,4716,38809
1,0,0,1,1,1024,0,6472,0,8287,42329
1,0,0,1,1,8,0,1024,0,7730,42422
1,0,0,0,1,8,0,3030784,0,4164,42886
1,0,0,1,1,8,0,1024,0,1333,43714
1,0,0,1,1,1024,0,-3035048,0,4712,47003
1,0,0,1,1,1024,0,2411728,0,7894,50741
1,0,0,1,1,8,0,1024,0,7094,50782
1,0,0,1,1,8,0,1024,0,801,51155
1,0,0,1,1,1024,0,-2418624,0,9270,55831
1,0,0,1,1,1032,0,174600,0,9073,59368
1,0,0,1,1,1024,0,-178784,0,127120,178237
1,0,0,1,1,8,0,1024,0,122517,178294
1,0,0,1,0,1016,0,2647656,0,133416,192508
1,0,0,1,1,1024,0,-2647120,0,18254,196281
