00000031.097494 -0000014.996526 00000062.282120 00000001.669596 00000014.500155 00000002.270901 -0000000.005630 -0000000.228417 -0000000.134211
-0000015.929475 00000004.989270 -0000033.660255 -0000009.427395 -0000009.316305 -0000013.472230 00000000.299102 -0000000.001385 -0000000.026180
-0000002.756075 00000001.679581 -0000005.426694 00000017.085205 -0000001.539310 -0000000.105659 -0000000.179920 00000000.264079 00000000.041995
00000003.263447 -0000001.824549 00000006.058677 -0000017.109743 00000002.210108 00000000.098367 00000000.105313 00000000.022249 00000000.045827
00000003.619920 -0000001.858369 00000006.393349 -0000015.011261 00000002.522148 00000000.507286 00000000.131671 00000000.145284 00000000.043801
-0000013.841099 00000012.084253 -0000029.781595 00000001.726569 -0000000.314280 00000000.477714 00000000.207807 -0000000.199946 -0000000.294518
00000001.949788 -0000000.923120 00000009.538040 -0000017.424051 -0000003.363630 -0000000.434427 -0000000.266185 -0000000.000723 -0000000.271671
-0000024.542566 00000008.575174 -0000022.833088 -0000014.797234 -0000009.789304 -0000003.926169 00000000.197322 -0000000.077700 00000000.013139
-0000000.107878 -0000005.470620 -0000007.949667 00000006.631676 -0000008.706735 -0000001.152642 00000000.034102 -0000000.227872 00000000.008293
-0000002.980852 00000001.679741 -0000005.962681 00000017.146605 -0000002.068691 -0000000.334850 -0000000.331744 00000000.158457 -0000000.032180
00000023.396263 -0000010.639404 00000040.932877 00000000.362244 00000010.512820 00000003.365567 -0000000.276489 -0000000.258817 00000000.328869
00000005.366245 -0000000.738906 00000003.513003 00000006.659447 00000004.494667 00000000.194558 00000000.129137 00000000.041907 00000000.245713
-0000003.815329 -0000002.315302 00000004.424842 00000007.248974 00000002.428396 00000000.140523 00000000.305757 -0000000.001268 -0000000.077104
00000005.435205 -0000002.433928 00000006.987681 -0000010.136164 00000004.093576 00000000.920038 -0000000.095029 00000000.182459 -0000000.047693
00000007.971346 00000001.035097 00000011.251596 -0000018.137844 00000010.197221 00000000.804729 00000000.130259 -0000000.000321 -0000000.151540
-0000029.889666 00000012.640970 -0000056.051804 -0000004.267028 -0000013.024158 -0000004.181752 00000000.027782 -0000000.267874 00000000.136755
-0000005.654864 00000002.797457 -0000019.614290 00000007.513957 -0000003.678572 00000003.832574 -0000000.263770 -0000000.295068 -0000000.224754
00000033.298752 -0000010.374075 00000055.701977 -0000004.881359 00000018.773798 00000001.112268 -0000000.187096 -0000000.236568 00000000.140630
-0000005.270010 00000002.352657 -0000004.432983 -0000006.279170 -0000007.072241 00000001.061051 -0000000.253494 00000000.158032 -0000000.100741
-0000002.682904 00000001.651224 -0000005.795904 00000017.175449 -0000001.624918 -0000000.325913 00000000.035766 00000000.071816 00000000.076329
-0000029.574854 00000009.708904 -0000058.957394 00000000.587737 -0000016.749464 -0000004.275040 -0000000.128546 -0000000.107131 00000000.063919
00000029.685522 -0000012.757381 00000060.392082 -0000000.635522 00000015.131963 00000000.260164 -0000000.097274 -0000000.039725 -0000000.215150
00000024.152721 -0000001.444824 00000053.799953 -0000008.338498 00000016.135202 00000004.959994 -0000000.029999 -0000000.212581 00000000.243020
-0000023.274870 00000005.683354 -0000041.636223 00000007.543659 -0000013.112950 -0000003.663185 -0000000.057797 -0000000.255583 00000000.163390
00000002.806581 -0000002.269894 00000005.715433 -0000017.129089 00000002.319823 -0000000.320824 -0000000.201489 00000000.171037 00000000.186233
-0000002.565742 00000001.934210 -0000005.706055 00000017.174185 -0000001.916564 -0000000.210220 -0000000.123845 00000000.105688 00000000.086795
-0000031.129721 00000011.388212 -0000058.794247 -0000000.453949 -0000014.509401 -0000002.791143 00000000.254130 -0000000.011089 -0000000.033932
00000010.734941 00000000.431492 00000017.874926 -0000007.181546 00000008.996868 -0000003.691895 -0000000.009747 -0000000.008692 00000000.275272
-0000012.937402 00000003.174034 -0000019.316315 -0000018.511694 -0000008.140900 -0000003.412041 00000000.241784 -0000000.002762 00000000.110516
00000024.825672 -0000011.322929 00000050.603233 -0000002.008723 00000008.583879 00000001.268159 00000000.161856 -0000000.193950 00000000.209320
-0000029.381096 00000009.296310 -0000060.575260 00000001.362679 -0000016.122663 -0000003.481050 00000000.091378 -0000000.226711 00000000.268433
00000027.733723 -0000009.657504 00000037.423595 -0000001.167941 00000016.886221 00000002.312528 -0000000.196735 -0000000.121946 -0000000.097844
